Код программы,Направление,Профиль,Форма обучения,Бюджет,Договор,Факультет,Кафедра
18.03.02,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Оборудование нефтегазопереработки,заочная,0,7,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Машиностроение» (МС)
24.03.04,Авиастроение,Самолетостроение,заочная,0,22,Факультет авиационной и морской техники (ФАМТ),Кафедра «Авиастроение» (АС)
46.03.02,Документоведение и архивоведение,Документационное обеспечение управления организацией,заочная,0,6,Социально-гуманитарный факультет (СГФ),Кафедра «История и культурология» (ИК)
21.03.02,Землеустройство и кадастры,Геодезическое сопровождение землеустройства и кадастров,заочная,0,6,Факультет кадастра и строительства (ФКС),Кафедра «Кадастры и техносферная безопасность» (КТБ)
09.03.01,Информатика и вычислительная техника,Программное обеспечение средств вычислительной техники и автоматизированных систем,заочная,14,13,Факультет компьютерных технологий (ФКТ),"Кафедра «Проектирование, управление и разработка информационных систем» (ПУРИС)"
15.03.01,Машиностроение,Оборудование и технология сварочного производства,заочная,9,6,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Машиностроение» (МС)
15.03.01,Машиностроение,Технология машиностроения,заочная,10,45,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Машиностроение» (МС)
39.03.02,Социальная работа,Технология социальной работы,заочная,5,6,Социально-гуманитарный факультет (СГФ),"Кафедра «Педагогика,  психология и социальная работа» (ППСР)"
08.03.01,Строительство,Промышленное и гражданское строительство,заочная,0,13,Факультет кадастра и строительства (ФКС),Кафедра «Строительство и архитектура» (СиА)
13.03.01,Теплоэнергетика и теплотехника,Тепловые электрические станции,заочная,9,18,Факультет авиационной и морской техники (ФАМТ),Кафедра «Тепловые энергетические установки» (ТЭУ)
23.03.01,Технология транспортных процессов,Организация перевозок и управление в единой транспортной системе,заочная,9,26,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Материаловедение и технология новых материалов» (МТНМ)
20.03.01,Техносферная безопасность,Безопасность жизнедеятельности в техносфере,заочная,0,44,Факультет кадастра и строительства (ФКС),Кафедра «Кадастры и техносферная безопасность» (КТБ)
38.03.01,Экономика,Финансово-экономическая аналитика,заочная,0,14,Факультет энергетики и управления (ФЭУ),Кафедра «Экономика и менеджмент» (ЭкМ)
11.03.04,Электроника и наноэлектроника,Промышленная электроника,заочная,22,3,Факультет энергетики и управления (ФЭУ),Кафедра «Промышленная электроника и инновационные технологии» (ПЭИТ)
13.03.02,Электроэнергетика и электротехника,Электрооборудование и электроснабжение предприятий,заочная,9,12,Факультет энергетики и управления (ФЭУ),Кафедра «Электромеханика» (ЭМ)
13.03.02,Электроэнергетика и электротехника,Электропривод и автоматика,заочная,9,12,Факультет энергетики и управления (ФЭУ),Кафедра «Электромеханика» (ЭМ)
40.03.01,Юриспруденция,Государственно-правовой,заочная,0,34,Социально-гуманитарный факультет (СГФ),Кафедра «Публичное и частное право» (ПЧП)
40.03.01,Юриспруденция,Государственно-правовой,заочная,0,13,Социально-гуманитарный факультет (СГФ),Кафедра «Публичное и частное право» (ПЧП)
24.03.04,Авиастроение,Самолетостроение,очная,37,0,Факультет авиационной и морской техники (ФАМТ),Кафедра «Авиастроение» (АС)
38.03.04,Государственное и муниципальное управление,Управление государственными проектами и программами,очная,15,1,Социально-гуманитарный факультет (СГФ),"Кафедра «Педагогика,  психология и социальная работа» (ППСР)"
07.03.03,Дизайн архитектурной среды,Проектирование архитектурной среды,очная,18,0,Факультет кадастра и строительства (ФКС),Кафедра «Дизайн архитектурной среды» (ДАС)
09.03.00,Информатика и вычислительная техника,,очная,29,0,Факультет компьютерных технологий (ФКТ),"Кафедра «Проектирование, управление и разработка информационных систем» (ПУРИС)"
09.03.01,Информатика и вычислительная техника,Программное обеспечение средств вычислительной техники и автоматизированных систем,очная,2,0,Факультет компьютерных технологий (ФКТ),"Кафедра «Проектирование, управление и разработка информационных систем» (ПУРИС)"
10.05.03,Информационная безопасность автоматизированных систем,Анализ безопасности информационных систем,очная,20,0,Факультет компьютерных технологий (ФКТ),Кафедра «Информационная безопасность автоматизированных систем» (ИБАС)
26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Кораблестроение,очная,30,0,Факультет авиационной и морской техники (ФАМТ),Кафедра «Кораблестроение и компьютерный инжиниринг» (ККИ)
45.03.02,Лингвистика,Специальный перевод,очная,20,2,Социально-гуманитарный факультет (СГФ),Кафедра «Лингвистика и межкультурная коммуникация» (ЛМК)
15.03.01,Машиностроение,,очная,33,0,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Машиностроение» (МС)
15.03.01,Машиностроение,Оборудование и технология сварочного производства,очная,1,0,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Машиностроение» (МС)
15.03.06,Мехатроника и робототехника,Робототехнические комплексы и системы,очная,14,0,Факультет энергетики и управления (ФЭУ),Кафедра «Электропривод и автоматизация промышленных установок» (ЭПАПУ)
01.03.04,Прикладная математика,Математическое моделирование и криптография,очная,12,0,Факультет компьютерных технологий (ФКТ),Кафедра «Прикладная математика» (ПМ)
42.03.01,Реклама и связи с общественностью,Реклама и связи с общественностью в медиаиндустрии,очная,17,0,Социально-гуманитарный факультет (СГФ),Кафедра «Публичное и частное право» (ПЧП)
24.05.07,Самолето- и вертолетостроение,,очная,15,8,Факультет авиационной и морской техники (ФАМТ),Кафедра «Авиастроение» (АС)
24.05.07,Самолето- и вертолетостроение,Самолетостроение,очная,10,0,Факультет авиационной и морской техники (ФАМТ),Кафедра «Авиастроение» (АС)
24.05.07,Самолето- и вертолетостроение,Технологическое проектирование высокоресурсных конструкций самолетов и вертолетов,очная,15,0,Факультет авиационной и морской техники (ФАМТ),Кафедра «Авиастроение» (АС)
08.03.01,Строительство,Производственно-технологическое обеспечение строительства,очная,0,56,Факультет кадастра и строительства (ФКС),Кафедра «Строительство и архитектура» (СиА)
08.03.01,Строительство,Промышленное и гражданское строительство,очная,15,0,Факультет кадастра и строительства (ФКС),Кафедра «Строительство и архитектура» (СиА)
13.03.01,Теплоэнергетика и теплотехника,Технология машиностроения,очная,14,0,Факультет авиационной и морской техники (ФАМТ),Кафедра «Тепловые энергетические установки» (ТЭУ)
22.03.00,Технологии материалов,,очная,29,0,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Материаловедение и технология новых материалов» (МТНМ)
20.03.01,Техносферная безопасность,Безопасность жизнедеятельности в техносфере,очная,15,0,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Материаловедение и технология новых материалов» (МТНМ)
27.03.04,Управление в технических системах,Автоматизация и управление технологическими процессами,очная,15,0,Факультет энергетики и управления (ФЭУ),Кафедра «Электропривод и автоматизация промышленных установок» (ЭПАПУ)
18.03.01,Химическая технология,Переработка полезных ископаемых,очная,1,0,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Машиностроение» (МС)
18.03.00,Химическая технология,,очная,27,0,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Машиностроение» (МС)
38.03.01,Экономика,Финансово-экономическая аналитика,очная,15,0,Факультет энергетики и управления (ФЭУ),Кафедра «Экономика и менеджмент» (ЭкМ)
11.03.04,Электроника и наноэлектроника,,очная,36,0,Факультет энергетики и управления (ФЭУ),Кафедра «Промышленная электроника и инновационные технологии» (ПЭИТ)
11.03.04,Электроника и наноэлектроника,Проектирование электронных устройств,очная,0,33,Факультет энергетики и управления (ФЭУ),Кафедра «Промышленная электроника и инновационные технологии» (ПЭИТ)
11.03.04,Электроника и наноэлектроника,Промышленная электроника,очная,3,0,Факультет энергетики и управления (ФЭУ),Кафедра «Промышленная электроника и инновационные технологии» (ПЭИТ)
13.03.02,Электроэнергетика и электротехника,,очная,29,0,Факультет энергетики и управления (ФЭУ),Кафедра «Электромеханика» (ЭМ)
13.03.02,Электроэнергетика и электротехника,Электропривод и автоматизация,очная,0,63,Факультет энергетики и управления (ФЭУ),Кафедра «Электромеханика» (ЭМ)
13.03.02,Электроэнергетика и электротехника,Электропривод и автоматика,очная,1,0,Факультет энергетики и управления (ФЭУ),Кафедра «Электромеханика» (ЭМ)
18.03.02,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Оборудование нефтегазопереработки,очная,2,0,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Машиностроение» (МС)
40.03.01,Юриспруденция,Государственно-правовой,очная,0,6,Социально-гуманитарный факультет (СГФ),Кафедра «Публичное и частное право» (ПЧП)
24.03.04,Авиастроение,Самолетостроение,очно-заочная,0,22,Факультет авиационной и морской техники (ФАМТ),Кафедра «Авиастроение» (АС)
46.03.02,Документоведение и архивоведение,Документационное обеспечение управления организацией,очно-заочная,0,6,Социально-гуманитарный факультет (СГФ),Кафедра «История и культурология» (ИК)
21.03.02,Землеустройство и кадастры,Геодезическое сопровождение землеустройства и кадастров,очно-заочная,0,6,Факультет кадастра и строительства (ФКС),Кафедра «Кадастры и техносферная безопасность» (КТБ)
09.03.01,Информатика и вычислительная техника,Программное обеспечение средств вычислительной техники и автоматизированных систем,очно-заочная,14,13,Факультет компьютерных технологий (ФКТ),"Кафедра «Проектирование, управление и разработка информационных систем» (ПУРИС)"
15.03.01,Машиностроение,Оборудование и технология сварочного производства,очно-заочная,9,6,Факультет компьютерных технологий (ФКТ),"Кафедра «Проектирование, управление и разработка информационных систем» (ПУРИС)"
15.03.01,Машиностроение,Технология машиностроения,очно-заочная,10,45,Факультет компьютерных технологий (ФКТ),"Кафедра «Проектирование, управление и разработка информационных систем» (ПУРИС)"
39.03.02,Социальная работа,Технология социальной работы,очно-заочная,5,6,Социально-гуманитарный факультет (СГФ),"Кафедра «Педагогика,  психология и социальная работа» (ППСР)"
08.03.01,Строительство,Промышленное и гражданское строительство,очно-заочная,0,13,Социально-гуманитарный факультет (СГФ),"Кафедра «Педагогика,  психология и социальная работа» (ППСР)"
13.03.01,Теплоэнергетика и теплотехника,Тепловые электрические станции,очно-заочная,9,18,Факультет авиационной и морской техники (ФАМТ),Кафедра «Тепловые энергетические установки» (ТЭУ)
23.03.01,Технология транспортных процессов,Организация перевозок и управление в единой транспортной системе,очно-заочная,9,26,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Материаловедение и технология новых материалов» (МТНМ)
20.03.01,Техносферная безопасность,Безопасность жизнедеятельности в техносфере,очно-заочная,0,44,Факультет кадастра и строительства (ФКС),Кафедра «Кадастры и техносферная безопасность» (КТБ)
38.03.01,Экономика,Финансово-экономическая аналитика,очно-заочная,0,14,Факультет энергетики и управления (ФЭУ),Кафедра «Экономика и менеджмент» (ЭкМ)
11.03.04,Электроника и наноэлектроника,Промышленная электроника,очно-заочная,22,3,Факультет энергетики и управления (ФЭУ),Кафедра «Промышленная электроника и инновационные технологии» (ПЭИТ)
13.03.02,Электроэнергетика и электротехника,Электрооборудование и электроснабжение предприятий,очно-заочная,9,12,Факультет энергетики и управления (ФЭУ),Кафедра «Электромеханика» (ЭМ)
13.03.02,Электроэнергетика и электротехника,Электропривод и автоматика,очно-заочная,9,12,Факультет энергетики и управления (ФЭУ),Кафедра «Электромеханика» (ЭМ)
18.03.02,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Оборудование нефтегазопереработки,очно-заочная,0,7,Факультет машиностроительных и химических технологий (ФМХТ),Кафедра «Машиностроение» (МС)
40.03.01,Юриспруденция,Государственно-правовой,очно-заочная,0,34,Социально-гуманитарный факультет (СГФ),Кафедра «Публичное и частное право» (ПЧП)
40.03.01,Юриспруденция,Государственно-правовой,очно-заочная,0,13,Социально-гуманитарный факультет (СГФ),Кафедра «Публичное и частное право» (ПЧП)
