"Код, шифр",Наименование,Уровень образования,Форма обучения,Бюджет,Договор
01.03.04,Прикладная математика,бакалавриат,очная,12,0
07.03.03,Дизайн архитектурной среды,бакалавриат,очная,19,1
08.03.01,Строительство,бакалавриат,очная,15,56
08.03.01,Строительство,бакалавриат,очно-заочная,0,13
09.00.00,Информатика и вычислительная техника,бакалавриат,очная,33,0
09.03.01,Информатика и вычислительная техника,бакалавриат,заочная,15,13
11.03.04,Электроника и наноэлектроника,бакалавриат,очная,40,33
11.03.04,Электроника и наноэлектроника,бакалавриат,заочная,25,3
13.03.01,Теплоэнергетика и теплотехника,бакалавриат,очная,15,0
13.03.01,Теплоэнергетика и теплотехника,бакалавриат,заочная,10,18
13.03.02,Электроэнергетика и электротехника,бакалавриат,очная,30,63
13.03.02,Электроэнергетика и электротехника,бакалавриат,заочная,20,24
15.03.01,Машиностроение,бакалавриат,очная,35,0
15.03.01,Машиностроение,бакалавриат,заочная,20,51
15.03.06,Мехатроника и робототехника,бакалавриат,очная,15,0
18.00.00,ХИМИЧЕСКАЯ ТЕХНОЛОГИЯ,бакалавриат,очная,30,0
18.03.02,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",бакалавриат,заочная,0,7
20.03.01,Техносферная безопасность,бакалавриат,очная,16,0
20.03.01,Техносферная безопасность,бакалавриат,заочная,0,44
21.03.02,Землеустройство и кадастры,бакалавриат,заочная,0,6
22.03.00,ТЕХНОЛОГИИ МАТЕРИАЛОВ,бакалавриат,очная,30,0
23.03.01,Технология транспортных процессов,бакалавриат,заочная,10,26
24.03.04,Авиастроение,бакалавриат,очная,37,0
24.03.04,Авиастроение,бакалавриат,очно-заочная,0,22
26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",бакалавриат,очная,31,0
27.03.04,Управление в технических системах,бакалавриат,очная,15,0
38.03.01,Экономика,бакалавриат,очная,15,0
38.03.01,Экономика,бакалавриат,очно-заочная,0,14
38.03.04,Государственное и муниципальное управление,бакалавриат,очная,15,1
38.03.04,Государственное и муниципальное управление,бакалавриат,очно-заочная,0,0
39.03.02,Социальная работа,бакалавриат,заочная,5,6
40.03.01,Юриспруденция,бакалавриат,очная,0,6
40.03.01,Юриспруденция,бакалавриат,очно-заочная,0,34
40.03.01,Юриспруденция,бакалавриат,заочная,0,13
42.03.01,Реклама и связи с общественностью,бакалавриат,очная,17,0
45.03.02,Лингвистика,бакалавриат,очная,20,2
46.03.02,Документоведение и архивоведение,бакалавриат,заочная,0,6
10.05.03,Информационная безопасность автоматизированных систем,cпециалитет,очная,20,0
24.05.07,Самолето- и вертолетостроение,специалитет,очная,40,8
