id;Статус;Группа;Курс;Факультет;Кафедра;Шифр направления;Название направления;Профиль;Форма обучения;Уровень образования
1;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
2;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
3;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
4;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
5;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
6;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
7;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
8;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
9;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
10;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
11;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
12;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
13;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
14;Обучается;4РОб-1;1;Социально-гуманитарный факультет (СГФ);Кафедра «История и культурология» (ИК);42.03.01;Реклама и связи с общественностью;Реклама и связи с общественностью в медиаиндустрии;Очная форма;Бакалавриат
